gender,marital,parenthood,country,age,category,total_moments,percent_category
m,single,y,VEN,80,leisure,0,0
m,single,y,VEN,80,bonding,0,0
m,single,y,VEN,80,achievement,0,0
m,single,y,VEN,80,enjoy_the_moment,0,0
m,single,y,VEN,80,exercise,0,0
m,single,y,VEN,80,nature,0,0
m,single,y,VEN,90,affection,0,0
m,single,y,VEN,90,leisure,0,0
m,single,y,VEN,90,bonding,0,0
m,single,y,VEN,90,achievement,0,0
m,single,y,VEN,90,enjoy_the_moment,0,0
m,single,y,VEN,90,exercise,0,0
m,single,y,VEN,90,nature,0,0
m,single,y,GBR,0,affection,0,0
m,single,y,GBR,0,leisure,0,0
m,single,y,GBR,0,bonding,0,0
m,single,y,GBR,0,achievement,0,0
m,single,y,GBR,0,enjoy_the_moment,0,0
m,single,y,GBR,0,exercise,0,0
m,single,y,GBR,0,nature,0,0
m,single,y,GBR,10,affection,0,0
m,single,y,GBR,10,leisure,0,0
m,single,y,GBR,10,bonding,0,0
m,single,y,GBR,10,achievement,0,0
m,single,y,GBR,10,enjoy_the_moment,0,0
m,single,y,GBR,10,exercise,0,0
m,single,y,GBR,10,nature,0,0
m,single,y,GBR,20,affection,60,18.33
m,single,y,GBR,20,leisure,60,1.67
m,single,y,GBR,20,bonding,60,13.33
m,single,y,GBR,20,achievement,60,51.67
m,single,y,GBR,20,enjoy_the_moment,60,15.0
m,single,y,GBR,20,exercise,60,0.0
m,single,y,GBR,20,nature,60,0.0
m,single,y,GBR,30,affection,3,0.0
m,single,y,GBR,30,leisure,3,0.0
m,single,y,GBR,30,bonding,3,0.0
m,single,y,GBR,30,achievement,3,100.0
m,single,y,GBR,30,enjoy_the_moment,3,0.0
m,single,y,GBR,30,exercise,3,0.0
m,single,y,GBR,30,nature,3,0.0
m,single,y,GBR,40,affection,0,0
m,single,y,GBR,40,leisure,0,0
m,single,y,GBR,40,bonding,0,0
m,single,y,GBR,40,achievement,0,0
m,single,y,GBR,40,enjoy_the_moment,0,0
m,single,y,GBR,40,exercise,0,0
m,single,y,GBR,40,nature,0,0
m,single,y,GBR,50,affection,0,0
m,single,y,GBR,50,leisure,0,0
m,single,y,GBR,50,bonding,0,0
m,single,y,GBR,50,achievement,0,0
m,single,y,GBR,50,enjoy_the_moment,0,0
m,single,y,GBR,50,exercise,0,0
m,single,y,GBR,50,nature,0,0
m,single,y,GBR,60,affection,0,0
m,single,y,GBR,60,leisure,0,0
m,single,y,GBR,60,bonding,0,0
m,single,y,GBR,60,achievement,0,0
m,single,y,GBR,60,enjoy_the_moment,0,0
m,single,y,GBR,60,exercise,0,0
